DMM Voltage,DMM Current,ADC Raw Value,ADC Adjusted Value,ADC Current Adjusted Value,Iteration Time,Current Time
1.81114602,6.51108891e-08,2213,2239,2239,0.6860620975494385,17:38:02.177
1.81110727,1.06208645e-07,2209,2235,2235,0.5044927597045898,17:38:03.183
1.81108725,8.88041462e-09,2213,2239,2239,0.5030539035797119,17:38:04.187
1.81110072,-3.00626538e-07,2212,2238,2238,0.5030899047851562,17:38:05.190
1.81105041,5.58390098e-08,2212,2238,2238,0.5019896030426025,17:38:06.193
1.71939659,-0.499864935,2098,2127,2123,0.4098503589630127,17:38:07.103
1.71846807,-0.499846071,2096,2125,2121,0.4260292053222656,17:38:08.029
1.7185235,-0.499864876,2095,2124,2119,0.5027258396148682,17:38:09.034
1.71848213,-0.499871581,2096,2125,2121,0.5043418407440186,17:38:10.039
1.72197198,-0.479857861,2101,2130,2126,0.500246524810791,17:38:11.040
1.7255975,-0.45985949,2102,2131,2127,0.5035977363586426,17:38:12.045
1.72926688,-0.439892679,2109,2137,2133,0.5018272399902344,17:38:13.047
1.73284411,-0.419888168,-1,-1,-1,0.5036919116973877,17:38:14.052
1.73649978,-0.39991793,2118,2146,2142,0.5046305656433105,17:38:15.058
1.7400701,-0.379914462,2123,2151,2148,0.5016500949859619,17:38:16.060
1.74369668,-0.359898328,-1,-1,-1,0.501847505569458,17:38:17.062
1.74732446,-0.33995229,2130,2158,2155,0.5031640529632568,17:38:18.066
1.75105488,-0.319932192,2137,2165,2162,0.5013313293457031,17:38:19.069
1.75460052,-0.299986541,2141,2169,2166,0.503551721572876,17:38:20.073
1.75825035,-0.279979377,2146,2174,2172,0.5049517154693604,17:38:21.079
1.76190352,-0.25996837,2149,2177,2175,0.5001540184020996,17:38:22.080
1.76552236,-0.240006268,2155,2182,2180,0.5045921802520752,17:38:23.085
1.76915514,-0.220001459,2159,2186,2184,0.5016524791717529,17:38:24.088
1.77277028,-0.200046747,2164,2191,2189,0.5030076503753662,17:38:25.091
1.77643477,-0.180042356,2168,2195,2193,0.5034129619598389,17:38:26.096
1.78006374,-0.160038381,2176,2203,2202,0.5018258094787598,17:38:27.100
1.78370523,-0.140085399,2177,2204,2203,0.5016586780548096,17:38:28.103
1.78732633,-0.120086811,2182,2209,2208,0.5028157234191895,17:38:29.107
1.79098701,-0.100144334,-1,-1,-1,0.5020015239715576,17:38:30.110
1.79454588,-0.0801367834,2195,2222,2222,0.6000425815582275,17:38:31.210
1.79853379,-0.0601351484,2194,2221,2221,0.5779464244842529,17:38:32.289
1.80206799,-0.0401808284,2201,2227,2227,0.5032331943511963,17:38:33.292
1.80570471,-0.020178765,2205,2231,2231,0.5019142627716064,17:38:34.295
1.80921626,-0.000229935671,2205,2231,2231,0.5037217140197754,17:38:35.300
1.8092432,-0.000214619751,2211,2237,2237,0.5016181468963623,17:38:36.303
1.80919027,-0.000210195386,2210,2236,2236,0.5023496150970459,17:38:37.307
1.80927658,-0.000207311022,2212,2238,2238,0.5028893947601318,17:38:38.311
1.80918204,-9.27161707e-08,2210,2236,2236,0.5019664764404297,17:38:39.314
1.80925405,-1.25056715e-07,-1,-1,-1,0.5032799243927002,17:38:40.319
1.80929279,2.68947832e-08,2211,2237,2237,0.5028278827667236,17:38:41.322
1.80929291,6.90760231e-08,2212,2238,2238,0.5024383068084717,17:38:42.326
1.81089961,0.000206224678,-1,-1,-1,0.5044608116149902,17:38:43.331
1.81091451,0.000202139024,2212,2238,2238,0.5010991096496582,17:38:44.333
1.81429564,0.0201471168,2214,2240,2240,0.5034964084625244,17:38:45.338
1.81786799,0.0401466377,-1,-1,-1,0.5033738613128662,17:38:46.342
1.82144963,0.0600983202,2222,2248,2248,0.5025002956390381,17:38:47.345
1.82324028,0.0800741985,2228,2254,2254,0.5024080276489258,17:38:48.348
1.82510519,0.0908670797,2230,2256,2256,0.5033211708068848,17:38:49.352
1.82864069,0.100102126,2234,2260,2260,0.40836524963378906,17:38:50.261
1.83230781,0.120052576,2238,2264,2264,0.42606043815612793,17:38:51.187
1.83593559,0.140056058,2242,2268,2269,0.5034606456756592,17:38:52.191
1.83942627,0.160004734,2248,2273,2274,0.5023424625396729,17:38:53.194
1.84307754,0.180011585,2252,2277,2278,0.5039081573486328,17:38:54.199
1.84675443,0.200019016,2257,2282,2283,0.5023796558380127,17:38:55.202
1.85032093,0.219973132,2261,2286,2287,0.5031893253326416,17:38:56.206
1.8539071,0.239981114,-1,-1,-1,0.5035111904144287,17:38:57.210
1.85747301,0.25992909,2271,2296,2298,0.5018215179443359,17:38:58.212
1.86115407,0.279938101,2275,2300,2302,0.5039002895355225,17:38:59.218
1.86476719,0.299947023,2279,2304,2306,0.5003635883331299,17:39:00.219
1.86838507,0.319900155,2284,2309,2311,0.5039422512054443,17:39:01.225
1.87195491,0.339904189,2292,2316,2319,0.5006000995635986,17:39:02.226
1.87566137,0.359870493,2293,2317,2320,0.5036468505859375,17:39:03.231
1.8792988,0.379878878,2297,2321,2324,0.5045180320739746,17:39:04.236
1.88292038,0.399884521,2300,2324,2327,0.5019261837005615,17:39:05.239
1.8847047,0.409876018,2301,2325,2328,0.5020465850830078,17:39:06.241
1.88655567,0.419863164,2309,2333,2336,0.5037906169891357,17:39:07.246
1.89015173,0.439861208,2312,2336,2339,0.5032122135162354,17:39:08.250
1.89377439,0.459827661,2316,2340,2344,0.5021378993988037,17:39:09.253
1.89739704,0.479826211,2318,2342,2346,0.5041506290435791,17:39:10.259
1.90105986,0.499831587,-1,-1,-1,0.5022788047790527,17:39:11.261
